block,stress,treatment,date,days,count
1,Low,BC,12/22/09,0,0
1,Low,MC,12/22/09,0,0
1,Low,MR,12/22/09,0,0
2,Low,BC,12/22/09,0,0
2,Low,MC,12/22/09,0,0
2,Low,MR,12/22/09,0,0
3,Low,BC,12/22/09,0,0
3,Low,MC,12/22/09,0,0
3,Low,MR,12/22/09,0,0
4,Low,BC,12/22/09,0,0
4,Low,MC,12/22/09,0,0
4,Low,MR,12/22/09,0,0
5,Low,BC,12/22/09,0,0
5,Low,MC,12/22/09,0,0
5,Low,MR,12/22/09,0,0
6,Low,BC,12/22/09,0,0
6,Low,MC,12/22/09,0,0
6,Low,MR,12/22/09,0,0
7,Low,BC,12/22/09,0,0
7,Low,MC,12/22/09,0,0
7,Low,MR,12/22/09,0,0
8,Low,BC,12/22/09,0,0
8,Low,MC,12/22/09,0,0
8,Low,MR,12/22/09,0,0
9,Low,BC,12/22/09,0,0
9,Low,MC,12/22/09,0,0
9,Low,MR,12/22/09,0,0
10,High,BC,12/22/09,0,0
10,High,MC,12/22/09,0,0
10,High,MR,12/22/09,0,0
11,High,BC,12/22/09,0,0
11,High,MC,12/22/09,0,0
11,High,MR,12/22/09,0,0
12,High,BC,12/22/09,0,0
12,High,MC,12/22/09,0,0
12,High,MR,12/22/09,0,0
13,High,BC,12/22/09,0,0
13,High,MC,12/22/09,0,0
13,High,MR,12/22/09,0,0
14,High,BC,12/22/09,0,0
14,High,MC,12/22/09,0,0
14,High,MR,12/22/09,0,0
15,High,BC,12/22/09,0,0
15,High,MC,12/22/09,0,0
15,High,MR,12/22/09,0,0
16,High,BC,12/22/09,0,0
16,High,MC,12/22/09,0,0
16,High,MR,12/22/09,0,0
17,High,BC,12/22/09,0,0
17,High,MC,12/22/09,0,0
17,High,MR,12/22/09,0,0
18,High,BC,12/22/09,0,0
18,High,MC,12/22/09,0,0
18,High,MR,12/22/09,0,0
1,Low,BC,1/7/10,16,4
1,Low,MC,1/7/10,16,2
1,Low,MR,1/7/10,16,0
2,Low,BC,1/7/10,16,0
2,Low,MC,1/7/10,16,5
2,Low,MR,1/7/10,16,0
3,Low,BC,1/7/10,16,0
3,Low,MC,1/7/10,16,2
3,Low,MR,1/7/10,16,0
4,Low,BC,1/7/10,16,0
4,Low,MC,1/7/10,16,5
4,Low,MR,1/7/10,16,0
5,Low,BC,1/7/10,16,2
5,Low,MC,1/7/10,16,0
5,Low,MR,1/7/10,16,0
6,Low,BC,1/7/10,16,0
6,Low,MC,1/7/10,16,4
6,Low,MR,1/7/10,16,1
7,Low,BC,1/7/10,16,0
7,Low,MC,1/7/10,16,4
7,Low,MR,1/7/10,16,1
8,Low,BC,1/7/10,16,0
8,Low,MC,1/7/10,16,3
8,Low,MR,1/7/10,16,3
9,Low,BC,1/7/10,16,0
9,Low,MC,1/7/10,16,2
9,Low,MR,1/7/10,16,0
10,High,BC,1/7/10,16,0
10,High,MC,1/7/10,16,4
10,High,MR,1/7/10,16,1
11,High,BC,1/7/10,16,0
11,High,MC,1/7/10,16,3
11,High,MR,1/7/10,16,0
12,High,BC,1/7/10,16,0
12,High,MC,1/7/10,16,2
12,High,MR,1/7/10,16,0
13,High,BC,1/7/10,16,0
13,High,MC,1/7/10,16,1
13,High,MR,1/7/10,16,1
14,High,BC,1/7/10,16,0
14,High,MC,1/7/10,16,2
14,High,MR,1/7/10,16,0
15,High,BC,1/7/10,16,0
15,High,MC,1/7/10,16,0
15,High,MR,1/7/10,16,0
16,High,BC,1/7/10,16,1
16,High,MC,1/7/10,16,3
16,High,MR,1/7/10,16,1
17,High,BC,1/7/10,16,0
17,High,MC,1/7/10,16,1
17,High,MR,1/7/10,16,0
18,High,BC,1/7/10,16,3
18,High,MC,1/7/10,16,4
18,High,MR,1/7/10,16,0
1,Low,BC,1/14/10,23,5
1,Low,MC,1/14/10,23,4
