block,position,treatment,final_count,infls,total_mass_mg,mass_per_plant_mg
1,SE,BC,5,4,417,83.4
2,SE,BC,5,3,183,36.6
3,SE,BC,4,4,1004,251
4,SE,BC,5,4,327,65.4
5,SE,BC,5,5,375,75
6,SE,BC,2,3,626,313
7,SE,BC,5,4,188,37.6
8,SE,BC,5,5,203,40.6
9,SE,BC,5,0,27,5.4
1,SE,MC,2,0,118,59
2,SE,MC,5,0,255,51
3,SE,MC,5,4,384,76.8
4,SE,MC,4,0,70,17.5
5,SE,MC,3,1,177,59
6,SE,MC,2,0,62,31
7,SE,MC,1,0,7,7
8,SE,MC,0,,,
9,SE,MC,1,0,104,104
1,SE,MR,4,4,138,34.5
2,SE,MR,4,0,80,20
3,SE,MR,5,2,240,48
4,SE,MR,1,0,14,14
5,SE,MR,3,1,120,40
6,SE,MR,2,0,28,14
7,SE,MR,4,0,27,6.75
8,SE,MR,2,0,15,7.5
9,SE,MR,2,0,38,19
10,NW,BC,5,5,152,30.4
11,NW,BC,0,,,
12,NW,BC,5,5,581,116.2
13,NW,BC,2,2,159,79.5
14,NW,BC,5,5,305,61
15,NW,BC,4,4,154,38.5
16,NW,BC,5,5,182,36.4
17,NW,BC,5,5,200,40
18,NW,BC,5,5,169,33.8
10,NW,MC,5,5,289,57.8
11,NW,MC,3,3,438,146
12,NW,MC,5,5,433,86.6
13,NW,MC,5,3,126,25.2
14,NW,MC,5,5,196,39.2
15,NW,MC,5,5,379,75.8
16,NW,MC,5,5,233,46.6
17,NW,MC,5,5,202,40.4
18,NW,MC,5,4,174,34.8
10,NW,MR,5,5,126,25.2
11,NW,MR,1,0,14,14
12,NW,MR,5,5,469,93.8
13,NW,MR,3,0,48,16
14,NW,MR,3,3,378,126
15,NW,MR,4,4,118,29.5
16,NW,MR,5,5,312,62.4
17,NW,MR,4,4,192,48
18,NW,MR,4,4,221,55.25
