transect,point,cover_category,species
9,1,ericameria,0
9,2,ericameria,0
9,3,ericameria,0
9,4,ericameria,0
9,5,ericameria,0
9,6,ericameria,0
9,7,ericameria,0
9,8,ericameria,0
9,9,lupine,0
9,10,bare,amsp
9,11,bare,brdi
9,12,bare,erla
9,13,bare,erla
9,14,bare,0
9,15,bare,0
9,16,bare,0
9,17,bare,0
9,18,bare,0
9,19,bare,0
9,20,bare,0
9,21,bare,0
9,22,bare,0
9,23,bare,0
9,24,bare,0
9,25,bare,0
23,1,ericameria,0
23,2,ericameria,0
23,3,ericameria,0
23,4,ericameria,0
23,5,lupine,0
23,6,bare,caed
23,7,bare,erla
23,8,bare,vubr
23,9,bare,0
23,10,bare,0
23,11,bare,0
23,12,bare,0
23,13,bare,0
23,14,bare,0
23,15,bare,0
23,16,bare,0
23,17,bare,0
23,18,bare,0
23,19,bare,0
23,20,bare,0
23,21,bare,0
23,22,bare,0
23,23,bare,0
23,24,bare,0
23,25,bare,0
28,1,ericameria,0
28,2,ericameria,0
28,3,lupine,0
28,4,lupine,0
28,5,lupine,0
28,6,bare,podo
28,7,bare,0
28,8,bare,0
28,9,bare,0
28,10,bare,0
28,11,bare,0
28,12,bare,0
28,13,bare,0
28,14,bare,0
28,15,bare,0
28,16,bare,0
28,17,bare,0
28,18,bare,0
28,19,bare,0
28,20,bare,0
28,21,bare,0
28,22,bare,0
28,23,bare,0
28,24,bare,0
28,25,moss,stme
33,1,ericameria,0
33,2,ericameria,0
33,3,ericameria,0
33,4,ericameria,0
33,5,ericameria,0
33,6,ericameria,0
33,7,ericameria,0
33,8,ericameria,0
33,9,ericameria,0
33,10,bare,cast
33,11,bare,jule
33,12,bare,0
33,13,bare,0
33,14,bare,0
33,15,bare,0
33,16,bare,0
33,17,bare,0
33,18,bare,0
33,19,bare,0
33,20,bare,0
33,21,bare,0
33,22,bare,0
33,23,bare,0
33,24,bare,0
33,25,moss,clpe
47,1,ericameria,0
47,2,ericameria,0
47,3,ericameria,0
47,4,ericameria,0
47,5,ericameria,0
47,6,ericameria,0
47,7,lupine,0
47,8,lupine,0
47,9,lupine,0
47,10,lupine,0
47,11,bare,chcu
47,12,bare,crco
47,13,bare,vubr
47,14,bare,0
47,15,bare,0
47,16,bare,0
47,17,bare,0
47,18,bare,0
47,19,bare,0
47,20,bare,0
47,21,bare,0
47,22,bare,0
47,23,bare,0
47,24,bare,0
47,25,bare,0
61,1,ericameria,0
61,2,ericameria,0
61,3,ericameria,0
61,4,ericameria,0
61,5,ericameria,0
61,6,ericameria,0
61,7,ericameria,0
61,8,ericameria,0
61,9,ericameria,0
61,10,ericameria,0
61,11,ericameria,0
61,12,ericameria,0
61,13,lupine,0
61,14,lupine,0
61,15,bare,cast
61,16,bare,crco
61,17,bare,crle
61,18,bare,dapu
61,19,bare,erla
61,20,bare,vubr
61,21,bare,0
61,22,bare,0
61,23,bare,0
61,24,bare,0
61,25,moss,0
66,1,ericameria,crco
66,2,ericameria,erla
66,3,ericameria,erla
66,4,ericameria,erla
66,5,ericameria,erla
66,6,ericameria,0
66,7,ericameria,0
66,8,ericameria,0
66,9,ericameria,0
66,10,ericameria,0
66,11,bare,0
66,12,bare,0
66,13,bare,0
66,14,bare,0
66,15,bare,0
66,16,bare,0
66,17,bare,0
66,18,bare,0
66,19,bare,0
66,20,bare,0
66,21,bare,0
66,22,bare,0
66,23,bare,0
66,24,bare,0
66,25,bare,0
71,1,ericameria,0
71,2,ericameria,0
71,3,ericameria,0
71,4,ericameria,0
71,5,ericameria,0
