block,stress,treatment,individs,infls,mass_mg
1,low,BC,5,4,417
2,low,BC,5,3,183
3,low,BC,4,4,1004
4,low,BC,5,4,327
5,low,BC,5,5,375
6,low,BC,2,3,626
7,low,BC,5,4,188
8,low,BC,5,5,203
9,low,BC,5,0,27
1,low,MC,2,0,118
2,low,MC,5,0,255
3,low,MC,5,4,384
4,low,MC,4,0,70
5,low,MC,3,1,177
6,low,MC,2,0,62
7,low,MC,1,0,7
8,low,MC,0,,
9,low,MC,1,0,104
1,low,MR,4,4,138
2,low,MR,4,0,80
3,low,MR,5,2,240
4,low,MR,1,0,14
5,low,MR,3,1,120
6,low,MR,2,0,28
7,low,MR,4,0,27
8,low,MR,2,0,15
9,low,MR,2,0,38
10,high,BC,5,5,152
11,high,BC,0,,
12,high,BC,5,5,581
13,high,BC,2,2,159
14,high,BC,5,5,305
15,high,BC,4,4,154
16,high,BC,5,5,182
17,high,BC,5,5,200
18,high,BC,5,5,169
10,high,MC,5,5,289
11,high,MC,3,3,438
12,high,MC,5,5,433
13,high,MC,5,3,126
14,high,MC,5,5,196
15,high,MC,5,5,379
16,high,MC,5,5,233
17,high,MC,5,5,202
18,high,MC,5,4,174
10,high,MR,5,5,126
11,high,MR,1,0,14
12,high,MR,5,5,469
13,high,MR,3,0,48
14,high,MR,3,3,378
15,high,MR,4,4,118
16,high,MR,5,5,312
17,high,MR,4,4,192
18,high,MR,4,4,221
