block,position,treatment,final_count,infls,total_mass_mg,mass_per_plant_mg
1,SE,MC,5,13,151,30.2
1,SE,MR,0,,,
1,SE,BC,5,13,207,41.4
2,SE,MC,5,0,27,5.4
2,SE,MR,0,,,
2,SE,BC,0,,,
3,SE,MC,1,0,7,7
3,SE,MR,0,,,
3,SE,BC,0,,,
4,SE,MC,4,4,69,17.25
4,SE,MR,1,0,5,5
4,SE,BC,2,2,14,7
5,SE,MC,4,5,56,14
5,SE,MR,3,7,46,15.33333333
5,SE,BC,2,3,20,10
6,SE,MC,5,25,587,117.4
6,SE,MR,0,,,
6,SE,BC,1,0,27,27
7,SE,MC,1,0,44,44
7,SE,MR,2,0,3,1.5
7,SE,BC,0,,,
8,SE,MC,3,0,16,5.333333333
8,SE,MR,3,1,10,3.333333333
8,SE,BC,1,1,8,8
9,SE,MC,1,0,5,5
9,SE,MR,0,,,
9,SE,BC,4,0,10,2.5
10,NW,MC,5,10,152,30.4
10,NW,MR,3,4,40,13.33333333
10,NW,BC,2,3,22,11
11,NW,MC,3,6,165,55
11,NW,MR,2,2,10,5
11,NW,BC,4,4,69,17.25
12,NW,MC,4,4,27,6.75
12,NW,MR,1,1,4,4
12,NW,BC,2,1,4,2
13,NW,MC,5,11,251,50.2
13,NW,MR,3,9,175,58.33333333
13,NW,BC,0,,,
14,NW,MC,5,15,351,70.2
14,NW,MR,2,2,13,6.5
14,NW,BC,0,,,
15,NW,MC,1,1,3,3
15,NW,MR,2,2,14,7
15,NW,BC,1,1,9,9
16,NW,MC,2,2,20,10
16,NW,MR,2,3,53,26.5
16,NW,BC,4,5,104,26
17,NW,MC,3,2,10,3.333333333
17,NW,MR,1,1,11,11
17,NW,BC,5,19,505,101
18,NW,MC,5,7,44,8.8
18,NW,MR,1,1,2,2
18,NW,BC,4,5,40,10
