"Treatment","Stress","result","stand_dev","stand_err","species"
"Bare sand","Low",1.01666666666667,0.980646045557043,0.326882015185681,"Vulpia"
"Moss patch","Low",1.09444444444444,1.71545264515747,0.571817548385825,"Vulpia"
"Moss removed","Low",0.666666666666667,1.12216721537356,0.374055738457855,"Vulpia"
"Bare sand","High",1.47142857142857,1.07310186797322,0.357700622657741,"Vulpia"
"Moss patch","High",1.58518518518519,0.760685201189455,0.253561733729818,"Vulpia"
"Moss removed","High",1.31481481481481,0.658514977284983,0.219504992428328,"Vulpia"
"Bare sand","Low",0.833333333333333,0.4,0.133333333333333,"Bromus"
"Moss patch","Low",0.141666666666667,0.29045667381742,0.0968188912724735,"Bromus"
"Moss removed","Low",0.192592592592593,0.342287151127764,0.114095717042588,"Bromus"
"Bare sand","High",1,0,0,"Bromus"
"Moss patch","High",0.933333333333333,0.14142135623731,0.0471404520791032,"Bromus"
"Moss removed","High",0.777777777777778,0.440958551844098,0.146986183948033,"Bromus"
