block,stress,distance,treatment,15,22,29,36,43,50,58,65,82
1,Low,53,MR,0,0,0,0,0,0,0,0,0
1,Low,53,MC,2,4,5,5,5,5,5,5,5
1,Low,53,BC,4,5,5,5,5,5,5,5,5
2,Low,65,MR,0,0,1,3,3,2,1,0,0
2,Low,65,MC,5,5,5,5,5,5,5,4,5
2,Low,65,BC,0,0,0,1,0,0,0,0,0
3,Low,50,MR,0,0,0,0,0,0,0,0,0
3,Low,50,MC,2,2,2,5,5,3,4,4,4
3,Low,50,BC,0,0,3,3,3,1,0,0,0
4,Low,84,MR,0,0,2,4,2,4,4,1,1
4,Low,84,MC,5,4,5,5,4,5,5,5,5
4,Low,84,BC,0,0,2,2,2,2,2,2,2
5,Low,81,MR,0,0,0,3,3,3,3,3,3
5,Low,81,MC,0,1,3,4,5,4,4,4,4
5,Low,81,BC,2,3,2,4,4,4,4,4,4
6,Low,75,MR,1,4,3,0,0,0,0,0,0
6,Low,75,MC,4,2,3,5,5,4,5,3,4
6,Low,75,BC,0,0,0,1,1,1,1,1,1
7,Low,51,MR,1,1,3,4,4,3,4,3,3
7,Low,51,MC,4,4,4,4,3,2,1,1,1
7,Low,51,BC,0,0,2,3,3,3,3,3,1
8,Low,81,MR,3,3,3,4,4,4,4,4,3
8,Low,81,MC,3,3,3,3,3,3,3,3,3
8,Low,81,BC,0,1,1,1,1,1,1,1,1
9,Low,75,MR,0,0,1,5,2,5,4,2,1
9,Low,75,MC,2,3,4,5,4,3,5,4,2
9,Low,75,BC,0,1,4,5,5,4,5,5,4
10,High,188,MR,1,1,1,4,4,4,4,4,4
10,High,188,MC,4,4,5,5,5,5,5,5,5
10,High,188,BC,0,0,2,3,4,3,3,2,2
11,High,187,MR,0,0,1,4,4,4,4,3,3
11,High,187,MC,3,3,3,4,4,4,4,4,5
11,High,187,BC,0,1,3,4,4,4,4,5,4
12,High,229,MR,0,1,0,1,1,1,1,1,1
12,High,229,MC,2,3,3,4,4,3,3,3,3
12,High,229,BC,0,0,2,2,2,2,1,1,2
13,High,180,MR,1,2,2,4,4,4,3,4,4
13,High,180,MC,1,3,3,5,5,5,5,5,5
13,High,180,BC,0,0,2,2,1,1,1,1,1
14,High,221,MR,0,0,2,3,3,3,3,3,2
14,High,221,MC,2,4,4,4,4,4,5,5,5
14,High,221,BC,0,0,0,3,3,0,0,0,0
15,High,229,MR,0,0,0,2,2,2,2,2,2
15,High,229,MC,0,0,1,4,4,4,4,2,1
15,High,229,BC,0,0,1,1,1,1,1,1,1
16,High,233,MR,1,1,3,3,3,3,3,2,3
16,High,233,MC,3,3,2,3,3,3,3,3,3
16,High,233,BC,1,2,2,4,4,4,4,4,4
17,High,178,MR,0,0,0,3,1,1,2,1,1
17,High,178,MC,1,3,3,5,4,3,3,4,3
17,High,178,BC,0,1,2,5,5,5,5,5,5
18,High,216,MR,0,0,0,3,2,2,2,2,1
18,High,216,MC,4,4,4,4,5,4,5,5,5
18,High,216,BC,3,4,4,4,4,4,4,4,4
