plot,distance,treatment,date,days,individs
1,46,MC,1/14/10,0,0
1,46,MR,1/14/10,0,0
1,46,BC,1/14/10,0,0
2,36,MC,1/14/10,0,0
2,36,MR,1/14/10,0,0
2,36,BC,1/14/10,0,0
3,60,MC,1/14/10,0,0
3,60,MR,1/14/10,0,0
3,60,BC,1/14/10,0,0
4,64,MC,1/14/10,0,0
4,64,MR,1/14/10,0,0
4,64,BC,1/14/10,0,0
5,67,MC,1/14/10,0,0
5,67,MR,1/14/10,0,0
5,67,BC,1/14/10,0,0
6,78,MC,1/14/10,0,0
6,78,MR,1/14/10,0,0
6,78,BC,1/14/10,0,0
7,76,MC,1/14/10,0,0
7,76,MR,1/14/10,0,0
7,76,BC,1/14/10,0,0
8,71,MC,1/14/10,0,0
8,71,MR,1/14/10,0,0
8,71,BC,1/14/10,0,0
9,69,MC,1/14/10,0,0
9,69,MR,1/14/10,0,0
9,69,BC,1/14/10,0,0
10,183,MC,1/14/10,0,0
10,183,MR,1/14/10,0,0
10,183,BC,1/14/10,0,0
11,180,MC,1/14/10,0,0
11,180,MR,1/14/10,0,0
11,180,BC,1/14/10,0,0
12,182,MC,1/14/10,0,0
12,182,MR,1/14/10,0,0
12,182,BC,1/14/10,0,0
13,195,MC,1/14/10,0,0
13,195,MR,1/14/10,0,0
13,195,BC,1/14/10,0,0
14,190,MC,1/14/10,0,0
14,190,MR,1/14/10,0,0
14,190,BC,1/14/10,0,0
15,193,MC,1/14/10,0,0
15,193,MR,1/14/10,0,0
15,193,BC,1/14/10,0,0
16,220,MC,1/14/10,0,0
16,220,MR,1/14/10,0,0
16,220,BC,1/14/10,0,0
17,222,MC,1/14/10,0,0
17,222,MR,1/14/10,0,0
17,222,BC,1/14/10,0,0
18,237,MC,1/14/10,0,0
18,237,MR,1/14/10,0,0
18,237,BC,1/14/10,0,0
1,46,MC,1/21/10,7,0
1,46,MR,1/21/10,7,0
1,46,BC,1/21/10,7,0
2,36,MC,1/21/10,7,0
2,36,MR,1/21/10,7,0
2,36,BC,1/21/10,7,0
3,60,MC,1/21/10,7,0
3,60,MR,1/21/10,7,0
3,60,BC,1/21/10,7,0
4,64,MC,1/21/10,7,0
4,64,MR,1/21/10,7,0
4,64,BC,1/21/10,7,0
5,67,MC,1/21/10,7,0
5,67,MR,1/21/10,7,0
5,67,BC,1/21/10,7,0
6,78,MC,1/21/10,7,0
6,78,MR,1/21/10,7,0
6,78,BC,1/21/10,7,0
7,76,MC,1/21/10,7,0
