plot,distance,treatment,date,day,number
1,46,MC,2/11/10,28,5
1,46,MR,2/11/10,28,5
1,46,BC,2/11/10,28,5
2,36,MC,2/11/10,28,5
2,36,MR,2/11/10,28,5
2,36,BC,2/11/10,28,5
3,60,MC,2/11/10,28,4
3,60,MR,2/11/10,28,5
3,60,BC,2/11/10,28,3
4,64,MC,2/11/10,28,5
4,64,MR,2/11/10,28,5
4,64,BC,2/11/10,28,5
5,67,MC,2/11/10,28,5
5,67,MR,2/11/10,28,4
5,67,BC,2/11/10,28,5
6,78,MC,2/11/10,28,5
6,78,MR,2/11/10,28,4
6,78,BC,2/11/10,28,2
7,76,MC,2/11/10,28,5
7,76,MR,2/11/10,28,5
7,76,BC,2/11/10,28,4
8,71,MC,2/11/10,28,5
8,71,MR,2/11/10,28,3
8,71,BC,2/11/10,28,5
9,69,MC,2/11/10,28,4
9,69,MR,2/11/10,28,5
9,69,BC,2/11/10,28,5
10,183,MC,2/11/10,28,5
10,183,MR,2/11/10,28,5
10,183,BC,2/11/10,28,5
11,180,MC,2/11/10,28,4
11,180,MR,2/11/10,28,2
11,180,BC,2/11/10,28,0
12,182,MC,2/11/10,28,5
12,182,MR,2/11/10,28,5
12,182,BC,2/11/10,28,5
13,195,MC,2/11/10,28,5
13,195,MR,2/11/10,28,5
13,195,BC,2/11/10,28,2
14,190,MC,2/11/10,28,5
14,190,MR,2/11/10,28,3
14,190,BC,2/11/10,28,5
15,193,MC,2/11/10,28,5
15,193,MR,2/11/10,28,4
15,193,BC,2/11/10,28,4
16,220,MC,2/11/10,28,5
16,220,MR,2/11/10,28,5
16,220,BC,2/11/10,28,5
17,222,MC,2/11/10,28,5
17,222,MR,2/11/10,28,4
17,222,BC,2/11/10,28,4
18,237,MC,2/11/10,28,5
18,237,MR,2/11/10,28,4
18,237,BC,2/11/10,28,5
