transect,habitat,veg_present,count
9,bare,yes,4
9,bare,no,12
9,moss,yes,0
9,moss,no,0
23,bare,yes,3
23,bare,no,17
23,moss,yes,0
23,moss,no,0
28,bare,yes,0
28,bare,no,19
28,moss,yes,1
28,moss,no,0
33,bare,yes,2
33,bare,no,13
33,moss,yes,1
33,moss,no,0
47,bare,yes,3
47,bare,no,12
47,moss,yes,0
47,moss,no,0
61,bare,yes,5
61,bare,no,5
61,moss,yes,0
61,moss,no,1
66,bare,yes,5
66,bare,no,10
66,moss,yes,0
66,moss,no,0
71,bare,yes,10
71,bare,no,7
71,moss,yes,1
71,moss,no,1
85,bare,yes,6
85,bare,no,3
85,moss,yes,3
85,moss,no,3
99,bare,yes,3
99,bare,no,7
99,moss,yes,2
99,moss,no,3
104,bare,yes,5
104,bare,no,6
104,moss,yes,3
104,moss,no,4
109,bare,yes,7
109,bare,no,4
109,moss,yes,3
109,moss,no,2
123,bare,yes,3
123,bare,no,3
123,moss,yes,3
123,moss,no,3
137,bare,yes,2
137,bare,no,6
137,moss,yes,3
137,moss,no,4
142,bare,yes,0
142,bare,no,3
142,moss,yes,8
142,moss,no,4
147,bare,yes,3
147,bare,no,3
147,moss,yes,6
147,moss,no,4
161,bare,yes,2
161,bare,no,5
161,moss,yes,10
161,moss,no,1
175,bare,yes,7
175,bare,no,5
175,moss,yes,8
175,moss,no,2
180,bare,yes,6
180,bare,no,6
180,moss,yes,6
180,moss,no,2
185,bare,yes,8
185,bare,no,6
185,moss,yes,10
185,moss,no,0
199,bare,yes,3
199,bare,no,6
199,moss,yes,6
199,moss,no,2
213,bare,yes,9
213,bare,no,6
213,moss,yes,8
213,moss,no,0
218,bare,yes,16
218,bare,no,6
218,moss,yes,2
218,moss,no,1
