plot,distance,treatment,date,day,individs
1,53,MC,1/7/10,16,2
1,53,MR,1/7/10,16,0
1,53,BC,1/7/10,16,4
2,65,MC,1/7/10,16,5
2,65,MR,1/7/10,16,0
2,65,BC,1/7/10,16,0
3,50,MC,1/7/10,16,2
3,50,MR,1/7/10,16,0
3,50,BC,1/7/10,16,0
4,84,MC,1/7/10,16,5
4,84,MR,1/7/10,16,0
4,84,BC,1/7/10,16,0
5,81,MC,1/7/10,16,0
5,81,MR,1/7/10,16,0
5,81,BC,1/7/10,16,2
6,75,MC,1/7/10,16,4
6,75,MR,1/7/10,16,1
6,75,BC,1/7/10,16,0
7,51,MC,1/7/10,16,4
7,51,MR,1/7/10,16,1
7,51,BC,1/7/10,16,0
8,81,MC,1/7/10,16,3
8,81,MR,1/7/10,16,3
8,81,BC,1/7/10,16,0
9,75,MC,1/7/10,16,2
9,75,MR,1/7/10,16,0
9,75,BC,1/7/10,16,0
10,188,MC,1/7/10,16,4
10,188,MR,1/7/10,16,1
10,188,BC,1/7/10,16,0
11,187,MC,1/7/10,16,3
11,187,MR,1/7/10,16,0
11,187,BC,1/7/10,16,0
12,229,MC,1/7/10,16,2
12,229,MR,1/7/10,16,0
12,229,BC,1/7/10,16,0
13,180,MC,1/7/10,16,1
13,180,MR,1/7/10,16,1
13,180,BC,1/7/10,16,0
14,221,MC,1/7/10,16,2
14,221,MR,1/7/10,16,0
14,221,BC,1/7/10,16,0
15,229,MC,1/7/10,16,0
15,229,MR,1/7/10,16,0
15,229,BC,1/7/10,16,0
16,233,MC,1/7/10,16,3
16,233,MR,1/7/10,16,1
16,233,BC,1/7/10,16,1
17,178,MC,1/7/10,16,1
17,178,MR,1/7/10,16,0
17,178,BC,1/7/10,16,0
18,216,MC,1/7/10,16,4
18,216,MR,1/7/10,16,0
18,216,BC,1/7/10,16,3
1,53,MC,1/14/10,23,4
1,53,MR,1/14/10,23,0
1,53,BC,1/14/10,23,5
2,65,MC,1/14/10,23,5
2,65,MR,1/14/10,23,0
2,65,BC,1/14/10,23,0
3,50,MC,1/14/10,23,2
3,50,MR,1/14/10,23,0
3,50,BC,1/14/10,23,0
4,84,MC,1/14/10,23,4
4,84,MR,1/14/10,23,0
4,84,BC,1/14/10,23,0
5,81,MC,1/14/10,23,1
5,81,MR,1/14/10,23,0
5,81,BC,1/14/10,23,3
6,75,MC,1/14/10,23,2
6,75,MR,1/14/10,23,4
6,75,BC,1/14/10,23,0
7,51,MC,1/14/10,23,4
7,51,MR,1/14/10,23,1
7,51,BC,1/14/10,23,0
8,81,MC,1/14/10,23,3
8,81,MR,1/14/10,23,3
8,81,BC,1/14/10,23,1
9,75,MC,1/14/10,23,3
9,75,MR,1/14/10,23,0
9,75,BC,1/14/10,23,1
10,188,MC,1/14/10,23,4
10,188,MR,1/14/10,23,1
10,188,BC,1/14/10,23,0
11,187,MC,1/14/10,23,3
11,187,MR,1/14/10,23,0
11,187,BC,1/14/10,23,1
12,229,MC,1/14/10,23,3
12,229,MR,1/14/10,23,1
12,229,BC,1/14/10,23,0
13,180,MC,1/14/10,23,3
13,180,MR,1/14/10,23,2
13,180,BC,1/14/10,23,0
14,221,MC,1/14/10,23,4
14,221,MR,1/14/10,23,0
14,221,BC,1/14/10,23,0
15,229,MC,1/14/10,23,0
15,229,MR,1/14/10,23,0
15,229,BC,1/14/10,23,0
16,233,MC,1/14/10,23,3
16,233,MR,1/14/10,23,1
16,233,BC,1/14/10,23,2
17,178,MC,1/14/10,23,3
17,178,MR,1/14/10,23,0
17,178,BC,1/14/10,23,1
18,216,MC,1/14/10,23,4
18,216,MR,1/14/10,23,0
18,216,BC,1/14/10,23,4
1,53,MC,1/21/10,30,5
1,53,MR,1/21/10,30,0
1,53,BC,1/21/10,30,5
2,65,MC,1/21/10,30,5
2,65,MR,1/21/10,30,1
2,65,BC,1/21/10,30,0
3,50,MC,1/21/10,30,2
3,50,MR,1/21/10,30,0
3,50,BC,1/21/10,30,3
4,84,MC,1/21/10,30,5
4,84,MR,1/21/10,30,2
4,84,BC,1/21/10,30,2
5,81,MC,1/21/10,30,3
5,81,MR,1/21/10,30,0
5,81,BC,1/21/10,30,2
6,75,MC,1/21/10,30,3
6,75,MR,1/21/10,30,3
6,75,BC,1/21/10,30,0
7,51,MC,1/21/10,30,4
7,51,MR,1/21/10,30,3
7,51,BC,1/21/10,30,2
8,81,MC,1/21/10,30,3
8,81,MR,1/21/10,30,3
8,81,BC,1/21/10,30,1
9,75,MC,1/21/10,30,4
9,75,MR,1/21/10,30,1
9,75,BC,1/21/10,30,4
10,188,MC,1/21/10,30,5
10,188,MR,1/21/10,30,1
10,188,BC,1/21/10,30,2
11,187,MC,1/21/10,30,3
11,187,MR,1/21/10,30,1
11,187,BC,1/21/10,30,3
12,229,MC,1/21/10,30,3
12,229,MR,1/21/10,30,0
12,229,BC,1/21/10,30,2
13,180,MC,1/21/10,30,3
13,180,MR,1/21/10,30,2
13,180,BC,1/21/10,30,2
14,221,MC,1/21/10,30,4
14,221,MR,1/21/10,30,2
14,221,BC,1/21/10,30,0
15,229,MC,1/21/10,30,1
15,229,MR,1/21/10,30,0
15,229,BC,1/21/10,30,1
16,233,MC,1/21/10,30,2
16,233,MR,1/21/10,30,3
16,233,BC,1/21/10,30,2
17,178,MC,1/21/10,30,3
17,178,MR,1/21/10,30,0
17,178,BC,1/21/10,30,2
18,216,MC,1/21/10,30,4
18,216,MR,1/21/10,30,0
18,216,BC,1/21/10,30,4
1,53,MC,1/28/10,37,5
1,53,MR,1/28/10,37,0
1,53,BC,1/28/10,37,5
2,65,MC,1/28/10,37,5
2,65,MR,1/28/10,37,3
2,65,BC,1/28/10,37,1
3,50,MC,1/28/10,37,5
3,50,MR,1/28/10,37,0
3,50,BC,1/28/10,37,3
4,84,MC,1/28/10,37,5
4,84,MR,1/28/10,37,4
4,84,BC,1/28/10,37,2
5,81,MC,1/28/10,37,4
5,81,MR,1/28/10,37,3
5,81,BC,1/28/10,37,4
6,75,MC,1/28/10,37,5
6,75,MR,1/28/10,37,0
6,75,BC,1/28/10,37,1
7,51,MC,1/28/10,37,4
7,51,MR,1/28/10,37,4
7,51,BC,1/28/10,37,3
8,81,MC,1/28/10,37,3
8,81,MR,1/28/10,37,4
8,81,BC,1/28/10,37,1
