plot,stress,treatment,date,seedlings
1,Low,MC,1/7/10,2
1,Low,MR,1/7/10,0
1,Low,BC,1/7/10,4
2,Low,MC,1/7/10,5
2,Low,MR,1/7/10,0
2,Low,BC,1/7/10,0
3,Low,MC,1/7/10,2
3,Low,MR,1/7/10,0
3,Low,BC,1/7/10,0
4,Low,MC,1/7/10,5
4,Low,MR,1/7/10,0
4,Low,BC,1/7/10,0
5,Low,MC,1/7/10,0
5,Low,MR,1/7/10,0
5,Low,BC,1/7/10,2
6,Low,MC,1/7/10,4
6,Low,MR,1/7/10,1
6,Low,BC,1/7/10,0
7,Low,MC,1/7/10,4
7,Low,MR,1/7/10,1
7,Low,BC,1/7/10,0
8,Low,MC,1/7/10,3
8,Low,MR,1/7/10,3
8,Low,BC,1/7/10,0
9,Low,MC,1/7/10,2
9,Low,MR,1/7/10,0
9,Low,BC,1/7/10,0
10,High,MC,1/7/10,4
10,High,MR,1/7/10,1
10,High,BC,1/7/10,0
11,High,MC,1/7/10,3
11,High,MR,1/7/10,0
11,High,BC,1/7/10,0
12,High,MC,1/7/10,2
12,High,MR,1/7/10,0
12,High,BC,1/7/10,0
13,High,MC,1/7/10,1
13,High,MR,1/7/10,1
13,High,BC,1/7/10,0
14,High,MC,1/7/10,2
14,High,MR,1/7/10,0
14,High,BC,1/7/10,0
15,High,MC,1/7/10,0
15,High,MR,1/7/10,0
15,High,BC,1/7/10,0
16,High,MC,1/7/10,3
16,High,MR,1/7/10,1
16,High,BC,1/7/10,1
17,High,MC,1/7/10,1
17,High,MR,1/7/10,0
17,High,BC,1/7/10,0
18,High,MC,1/7/10,4
18,High,MR,1/7/10,0
18,High,BC,1/7/10,3
1,Low,MC,1/14/10,4
1,Low,MR,1/14/10,0
1,Low,BC,1/14/10,5
2,Low,MC,1/14/10,5
2,Low,MR,1/14/10,0
2,Low,BC,1/14/10,0
3,Low,MC,1/14/10,2
3,Low,MR,1/14/10,0
3,Low,BC,1/14/10,0
4,Low,MC,1/14/10,4
4,Low,MR,1/14/10,0
4,Low,BC,1/14/10,0
5,Low,MC,1/14/10,1
5,Low,MR,1/14/10,0
5,Low,BC,1/14/10,3
6,Low,MC,1/14/10,2
6,Low,MR,1/14/10,4
6,Low,BC,1/14/10,0
7,Low,MC,1/14/10,4
7,Low,MR,1/14/10,1
7,Low,BC,1/14/10,0
8,Low,MC,1/14/10,3
8,Low,MR,1/14/10,3
8,Low,BC,1/14/10,1
9,Low,MC,1/14/10,3
9,Low,MR,1/14/10,0
9,Low,BC,1/14/10,1
10,High,MC,1/14/10,4
10,High,MR,1/14/10,1
10,High,BC,1/14/10,0
11,High,MC,1/14/10,3
11,High,MR,1/14/10,0
11,High,BC,1/14/10,1
12,High,MC,1/14/10,3
12,High,MR,1/14/10,1
12,High,BC,1/14/10,0
13,High,MC,1/14/10,3
13,High,MR,1/14/10,2
13,High,BC,1/14/10,0
14,High,MC,1/14/10,4
14,High,MR,1/14/10,0
14,High,BC,1/14/10,0
15,High,MC,1/14/10,0
15,High,MR,1/14/10,0
15,High,BC,1/14/10,0
16,High,MC,1/14/10,3
16,High,MR,1/14/10,1
16,High,BC,1/14/10,2
17,High,MC,1/14/10,3
17,High,MR,1/14/10,0
17,High,BC,1/14/10,1
18,High,MC,1/14/10,4
18,High,MR,1/14/10,0
18,High,BC,1/14/10,4
1,Low,MC,1/21/10,5
1,Low,MR,1/21/10,0
1,Low,BC,1/21/10,5
2,Low,MC,1/21/10,5
2,Low,MR,1/21/10,1
2,Low,BC,1/21/10,0
3,Low,MC,1/21/10,2
3,Low,MR,1/21/10,0
3,Low,BC,1/21/10,3
4,Low,MC,1/21/10,5
4,Low,MR,1/21/10,2
4,Low,BC,1/21/10,2
5,Low,MC,1/21/10,3
5,Low,MR,1/21/10,0
5,Low,BC,1/21/10,2
6,Low,MC,1/21/10,3
6,Low,MR,1/21/10,3
6,Low,BC,1/21/10,0
7,Low,MC,1/21/10,4
7,Low,MR,1/21/10,3
7,Low,BC,1/21/10,2
8,Low,MC,1/21/10,3
8,Low,MR,1/21/10,3
8,Low,BC,1/21/10,1
9,Low,MC,1/21/10,4
9,Low,MR,1/21/10,1
9,Low,BC,1/21/10,4
10,High,MC,1/21/10,5
10,High,MR,1/21/10,1
