"Treatment","Stress","result","stand_dev","stand_err","species"
"1","Bare sand","Low",2.37722421040649,1.00700762011789,0.335669206705963,"Vulpia"
"2","Moss patch","Low",2.70669015415675,1.1071587990161,0.369052933005367,"Vulpia"
"3","Moss removed","Low",1.48722623316925,0.967804098020623,0.322601366006874,"Vulpia"
"4","Bare sand","High",2.6159830460041,1.18891000981735,0.396303336605784,"Vulpia"
"5","Moss patch","High",2.69762261596898,1.22301159764723,0.407670532549075,"Vulpia"
"6","Moss removed","High",2.20423029295106,1.01783571054425,0.339278570181417,"Vulpia"
"7","Bare sand","Low",4.0900593468908,1.19141153182824,0.397137177276081,"Bromus"
"8","Moss patch","Low",3.66432428678759,0.884884903928171,0.294961634642724,"Bromus"
"9","Moss removed","Low",2.9159745807152,0.696941418352428,0.232313806117476,"Bromus"
"10","Bare sand","High",3.88886920140037,0.475278692465638,0.158426230821879,"Bromus"
"11","Moss patch","High",3.97950688442181,0.537770826937411,0.17925694231247,"Bromus"
"12","Moss removed","High",3.71299574437366,0.760008430706014,0.253336143568671,"Bromus"
