"Treatment","Stress","result","stand_dev","stand_err","species"
"1","Bare sand","Low",0.333333333333333,0.360555127546399,0.120185042515466,"Vulpia"
"2","Moss patch","Low",0.644444444444444,0.35746017649212,0.11915339216404,"Vulpia"
"3","Moss removed","Low",0.2,0.264575131106459,0.0881917103688197,"Vulpia"
"4","Bare sand","High",0.488888888888889,0.375647588986155,0.125215862995385,"Vulpia"
"5","Moss patch","High",0.733333333333333,0.3,0.1,"Vulpia"
"6","Moss removed","High",0.377777777777778,0.156347191994114,0.0521157306647048,"Vulpia"
"7","Bare sand","Low",0.911111111111111,0.202758751009941,0.0675862503366469,"Bromus"
"8","Moss patch","Low",0.511111111111111,0.362092683040007,0.120697561013336,"Bromus"
"9","Moss removed","Low",0.6,0.264575131106459,0.0881917103688197,"Bromus"
"10","Bare sand","High",0.8,0.360555127546399,0.120185042515466,"Bromus"
"11","Moss patch","High",0.955555555555556,0.133333333333333,0.0444444444444445,"Bromus"
"12","Moss removed","High",0.755555555555556,0.260341655863555,0.0867805519545184,"Bromus"
